FID,Id,X,Y,DEM,WaterSys_Dis,Faults_Dis
222,0,12173487.688699999824166,4349204.389550000429153,1294.217391304347757,8792.980224609375000,116176.788690476183547
223,0,12173642.435699999332428,4349206.567689999938011,1290.818181818181756,8765.044433593750000,116102.186718750002910
224,0,12173797.182800000533462,4349208.743990000337362,1294.349999999999909,8741.037760416666060,116014.954985119053163
225,0,12173951.929999999701977,4349210.918449999764562,1296.599999999999909,8712.134935461956047,115927.857421875000000
226,0,12174106.677400000393391,4349213.091059999540448,1298.099999999999909,8692.457470703124272,115853.945312500000000
227,0,12174261.425000000745058,4349215.261839999817312,1299.750000000000000,8670.248697916666060,115780.180078125005821
228,0,12174416.172700000926852,4349217.430770000442863,1293.549999999999955,8625.625537109375728,115699.210611979171517
229,0,12174570.920499999076128,4349219.597860000096262,1296.208333333333258,8609.176416015625364,115618.416406250005821
230,0,12174725.668600000441074,4349221.763109999708831,1298.799999999999955,8595.313916015624272,115545.123828124997090
231,0,12174880.416699999943376,4349223.926520000211895,1299.400000000000091,8583.115275065103560,115471.980078124994179
232,0,12175035.164999999105930,4349226.088089999742806,1299.250000000000000,8573.979443359374272,115398.985156249997090
233,0,12175189.913499999791384,4349228.247809999622405,1299.000000000000000,8568.466894531249636,115326.138281249994179
234,0,12175344.662100000306964,4349230.405700000002980,1296.799999999999955,8565.577929687500728,115246.182617187500000
235,0,12175499.410900000482798,4349232.561739999800920,1300.583333333333258,8565.052587890624636,115166.401171874997090
236,0,12175654.159800000488758,4349234.715939999558032,1301.952380952380963,8566.418359375000364,115094.033984374997090
237,0,12175808.908800000324845,4349236.868300000205636,1305.250000000000000,8572.770592730978024,115021.816406250000000
238,0,12175963.657999999821186,4349239.018819999881089,1304.599999999999909,8576.181361607143117,114932.260416666671517
239,0,12176118.407400000840425,4349241.167489999905229,1306.400000000000091,8588.243164062500000,114851.495703124994179
240,0,12176273.156899999827147,4349243.314330000430346,1302.099999999999909,8600.547753906250364,114778.200639204544132
241,0,12176427.906500000506639,4349245.459320000372827,1306.363636363636260,8609.486230468750364,114695.281960227279342
242,0,12176582.656300000846386,4349247.602470000274479,1305.227272727272748,8603.163085937500000,114622.325390625002910
243,0,12176737.406300000846386,4349249.743780000135303,1309.000000000000000,8626.023437500000000,114551.027343750000000
244,0,12176892.156400000676513,4349251.883249999955297,1310.599999999999909,8646.985776154891937,114479.882031250002910
245,0,12177046.906600000336766,4349254.020879999734461,1308.799999999999955,8676.497167968749636,114408.889453124997090
246,0,12177201.656999999657273,4349256.156659999862313,1311.200000000000045,8704.717138671874636,114337.918526785710128
247,0,12177356.407600000500679,4349258.290609999559820,1311.428571428571331,8734.134228515624272,114257.043138586959685
