FID,Name,X,Y,Depth,Cls,DEM,WaterSys_Dis,Slope,Plan_Cur,Prof_Cur,Comp_Cur,Aspect,Faults_Dis,Eq_Dis
120,H13,12161220.000000000000000,4434999.345999999903142,120,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
121,H13,12161220.000000000000000,4434999.345999999903142,121,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
122,H13,12161220.000000000000000,4434999.345999999903142,122,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
123,H13,12161220.000000000000000,4434999.345999999903142,123,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
124,H13,12161220.000000000000000,4434999.345999999903142,124,4,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
125,H13,12161220.000000000000000,4434999.345999999903142,125,4,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
126,H13,12161220.000000000000000,4434999.345999999903142,126,4,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
127,H13,12161220.000000000000000,4434999.345999999903142,127,4,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
128,H13,12161220.000000000000000,4434999.345999999903142,128,4,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
129,H13,12161220.000000000000000,4434999.345999999903142,129,4,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
130,H13,12161220.000000000000000,4434999.345999999903142,130,4,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
131,H13,12161220.000000000000000,4434999.345999999903142,131,4,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
132,H13,12161220.000000000000000,4434999.345999999903142,132,4,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
133,H13,12161220.000000000000000,4434999.345999999903142,133,4,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
134,H13,12161220.000000000000000,4434999.345999999903142,134,4,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
135,H13,12161220.000000000000000,4434999.345999999903142,135,4,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
136,H13,12161220.000000000000000,4434999.345999999903142,136,4,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
137,H13,12161220.000000000000000,4434999.345999999903142,137,4,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
138,H13,12161220.000000000000000,4434999.345999999903142,138,4,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
139,H13,12161220.000000000000000,4434999.345999999903142,139,4,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
140,H13,12161220.000000000000000,4434999.345999999903142,140,4,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
141,H13,12161220.000000000000000,4434999.345999999903142,141,4,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
142,H13,12161220.000000000000000,4434999.345999999903142,142,4,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
143,H13,12161220.000000000000000,4434999.345999999903142,143,4,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
144,H13,12161220.000000000000000,4434999.345999999903142,144,4,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
145,H13,12161220.000000000000000,4434999.345999999903142,145,4,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
146,H13,12161220.000000000000000,4434999.345999999903142,146,4,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
147,H13,12161220.000000000000000,4434999.345999999903142,147,4,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
148,H13,12161220.000000000000000,4434999.345999999903142,148,4,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
149,H13,12161220.000000000000000,4434999.345999999903142,149,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
150,H13,12161220.000000000000000,4434999.345999999903142,150,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
151,H13,12161220.000000000000000,4434999.345999999903142,151,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
152,H13,12161220.000000000000000,4434999.345999999903142,152,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
153,H13,12161220.000000000000000,4434999.345999999903142,153,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
154,H13,12161220.000000000000000,4434999.345999999903142,154,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
155,H13,12161220.000000000000000,4434999.345999999903142,155,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
156,H13,12161220.000000000000000,4434999.345999999903142,156,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
157,H13,12161220.000000000000000,4434999.345999999903142,157,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
158,H13,12161220.000000000000000,4434999.345999999903142,158,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
159,H13,12161220.000000000000000,4434999.345999999903142,159,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
160,H13,12161220.000000000000000,4434999.345999999903142,160,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
161,H13,12161220.000000000000000,4434999.345999999903142,161,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
162,H13,12161220.000000000000000,4434999.345999999903142,162,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
163,H13,12161220.000000000000000,4434999.345999999903142,163,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
164,H13,12161220.000000000000000,4434999.345999999903142,164,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
165,H13,12161220.000000000000000,4434999.345999999903142,165,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
